255 0 0 0 0 0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 -nan 
265 0 0 0 0 0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 -nan 
275 0 0 0 0 0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 -nan 
475 1.75661e+08 2.19773e+07 3.38524e+08 55882.2 3.24215e+07 3.54751e+10 4.72468e+08 1.1996e+11 2155.35 7.04296e+08 101.762 12.7316 196.109 0.0323729 18.782 100.973 10.5646 176.168 0.0141634 7.43232 1.7262e+06 inf 
485 2.17427e+08 2.55391e+07 3.88791e+08 74407.9 3.21217e+07 5.34449e+10 6.37596e+08 1.56709e+11 3850.65 6.99846e+08 129.083 15.1621 230.819 0.0441747 19.0701 122.748 12.1918 199.395 0.0182938 7.19847 1.6844e+06 inf 
495 2.64274e+08 2.93935e+07 4.40109e+08 96982.7 3.15043e+07 7.7825e+10 8.44358e+08 1.99151e+11 6600.2 6.82059e+08 160.845 17.8898 267.863 0.0590266 19.1744 146.613 13.9233 222.392 0.0230856 6.88925 1.64304e+06 inf 
505 3.16481e+08 3.36041e+07 4.92532e+08 124095 3.06992e+07 1.10209e+11 1.10248e+09 2.4741e+11 10888.6 6.54982e+08 196.812 20.8976 306.294 0.0771721 19.0911 172.631 15.7765 245.036 0.0285625 6.54574 1.60804e+06 inf 
515 3.74385e+08 3.82339e+07 5.46119e+08 156568 2.97938e+07 1.5209e+11 1.42027e+09 3.01026e+11 17405.9 6.21699e+08 236.865 24.1898 345.518 0.0990574 18.8499 200.298 17.7039 266.59 0.0346405 6.16582 1.58058e+06 inf 
525 4.38188e+08 4.327e+07 6.00287e+08 194390 2.87446e+07 2.05984e+11 1.81257e+09 3.60614e+11 26970.8 5.83526e+08 281.771 27.8243 386.008 0.125 18.4839 230.349 19.7828 287.9 0.0414522 5.79443 1.55512e+06 inf 
535 5.0645e+08 4.86457e+07 6.52906e+08 238078 2.75959e+07 2.72236e+11 2.28007e+09 4.22895e+11 40622.2 5.4151e+08 330.21 31.7174 425.7 0.155229 17.9927 261.651 21.9234 307.426 0.0488881 5.41574 1.53372e+06 inf 
545 5.7911e+08 5.43906e+07 7.03955e+08 287370 2.63611e+07 3.52427e+11 2.83631e+09 4.87537e+11 59460.7 4.97696e+08 382.703 35.9439 465.206 0.189908 17.4207 294.004 24.133 325.224 0.0568288 5.042 1.51321e+06 inf 
555 6.56828e+08 6.05769e+07 7.53777e+08 343405 2.51359e+07 4.48724e+11 3.49468e+09 5.53786e+11 85006.1 4.54071e+08 437.737 40.3709 502.347 0.228859 16.7516 327.772 26.4421 341.632 0.0653835 4.69006 1.50051e+06 inf 
565 7.37331e+08 6.70698e+07 7.9982e+08 404716 2.38146e+07 5.60847e+11 4.25965e+09 6.18778e+11 118483 4.09812e+08 496.552 45.1677 538.634 0.272554 16.0378 362.126 28.7839 355.789 0.0742046 4.33288 1.4849e+06 inf 
