255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 -nan 
265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 -nan 
275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 -nan 
285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 -nan 
385 21720.1 599534 17689.5 0.0599943 0.698022 5.35077 280.487 128.59 2.00533e+06 180.245 135911 118.815 3.84526e-09 3.17577e-07 2.32705e-05 0.0326932 0.00648803 1.52054e+06 0.00821275 0.226694 0.00668868 2.26849e-08 2.63934e-07 2.02322e-06 0.000106057 4.86222e-05 0.758248 0.000839303 0.000489 0.000433184 3.06489e-08 2.24544e-07 2.16923e-06 3.33738e-05 9.4399e-06 0.000529141 2.64469e+06 inf 
395 19748.7 555190 18546.5 0.0907768 0.827433 6.84343 300.742 130.53 1.86135e+06 160.707 125541 140.608 8.73546e-09 4.71738e-07 3.93865e-05 0.0403082 0.00718078 1.41109e+06 0.00804337 0.226122 0.00755375 3.69722e-08 3.37003e-07 2.78724e-06 0.000122488 5.3163e-05 0.758102 0.000870544 0.000520573 0.000456909 4.6807e-08 2.80289e-07 2.87627e-06 3.75988e-05 9.91622e-06 0.000532368 2.45527e+06 inf 
405 18152.7 519329 19396.5 0.132127 0.97802 8.63067 320.144 132.11 1.7453e+06 144.971 117128 163.919 1.84023e-08 6.91417e-07 6.44506e-05 0.0484785 0.00782621 1.32286e+06 0.00788344 0.225537 0.0084236 5.73809e-08 4.24739e-07 3.74817e-06 0.000139034 5.73733e-05 0.757956 0.00090007 0.000551493 0.000480265 6.85512e-08 3.4622e-07 3.73378e-06 4.15098e-05 1.03492e-05 0.000534088 2.30264e+06 inf 
415 16813.4 489167 20216.2 0.186528 1.15542 10.7677 338.483 133.109 1.64798e+06 131.872 110034 188.488 3.64348e-08 1.00502e-06 0.000102508 0.0570917 0.00839817 1.24886e+06 0.00773153 0.22494 0.00929627 8.57734e-08 5.31313e-07 4.95146e-06 0.000155649 6.12089e-05 0.75781 0.000929402 0.000582024 0.000503753 9.69391e-08 4.24096e-07 4.75609e-06 4.50175e-05 1.07378e-05 0.000534046 2.17466e+06 inf 
425 15679.4 463687 21025.3 0.25562 1.35998 13.2522 355.469 133.75 1.56607e+06 120.833 104021 214.443 6.81362e-08 1.44229e-06 0.000158109 0.0659034 0.00890937 1.18656e+06 0.00758571 0.224332 0.010172 1.23669e-07 6.57962e-07 6.41144e-06 0.000171976 6.47083e-05 0.757666 0.000957129 0.000612073 0.000526618 1.3293e-07 5.14652e-07 5.94868e-06 4.80456e-05 1.10994e-05 0.000533227 2.06696e+06 inf 
435 14759.5 443515 21906.3 0.343875 1.60517 16.2114 372.63 134.466 1.50179e+06 111.808 99222 242.661 1.22305e-07 2.06205e-06 0.000238991 0.0751154 0.00937778 1.13764e+06 0.00744495 0.223716 0.0110499 1.73456e-07 8.09672e-07 8.17726e-06 0.00018796 6.78269e-05 0.757525 0.000985154 0.000642589 0.000549747 1.77779e-07 6.2013e-07 7.32686e-06 5.05997e-05 1.13931e-05 0.000531809 1.98249e+06 inf 
445 13903.5 424383 22695.5 0.449723 1.87752 19.484 386.523 134.361 1.44078e+06 103.574 94676.3 271.393 2.08793e-07 2.89761e-06 0.000349511 0.0838071 0.0097503 1.09122e+06 0.00730879 0.22309 0.0119305 2.3641e-07 9.86973e-07 1.02423e-05 0.000203187 7.06309e-05 0.757386 0.00101402 0.000672946 0.00057277 2.32096e-07 7.41012e-07 8.87836e-06 5.26369e-05 1.16967e-05 0.000529873 1.9023e+06 inf 
455 13182.6 408359 23517.8 0.580903 2.20147 23.3058 399.934 134.153 1.39008e+06 96.6437 90842.3 301.943 3.46859e-07 4.06952e-06 0.000503843 0.0925199 0.0100669 1.05263e+06 0.00718123 0.222455 0.0128114 3.16448e-07 1.19926e-06 1.26959e-05 0.000217865 7.308e-05 0.757248 0.00103771 0.000700261 0.0005945 2.98015e-07 8.82421e-07 1.06435e-05 5.41772e-05 1.19689e-05 0.000525146 1.8357e+06 inf 
465 12552.3 394473 24356.3 0.73625 2.57036 27.5491 411.85 133.767 1.34647e+06 90.5841 87499.1 334.248 5.54719e-07 5.64281e-06 0.000707433 0.100764 0.0103276 1.01943e+06 0.00705809 0.22181 0.0136955 4.1399e-07 1.4453e-06 1.54907e-05 0.000231581 7.52166e-05 0.757112 0.00105756 0.000727257 0.00061733 3.74871e-07 1.04117e-06 1.25628e-05 5.50357e-05 1.22311e-05 0.000518597 1.77842e+06 inf 
475 11979.2 381765 25168.1 0.920522 2.99561 32.2899 421.88 132.949 1.3067e+06 85.1316 84431.7 367.655 8.6412e-07 7.78021e-06 0.000975553 0.108402 0.0105073 989144 0.0069396 0.221159 0.01458 5.33264e-07 1.73538e-06 1.87057e-05 0.000244398 7.70184e-05 0.756979 0.00107666 0.000752928 0.000638553 4.64994e-07 1.22295e-06 1.46711e-05 5.53855e-05 1.24542e-05 0.000511855 1.7262e+06 inf 
